g1,g2,ccted,iteration,gted,edit_distance,gted_time,ccted_time
simulated167,simulated305,32.99999997270673,4,34.0,66,35.5865638256073,5.250387907028198
simulated167,simulated187,35.0,5,35.0,62,75.99565982818604,13.361953258514404
simulated167,simulated25,40.0,10,40.0,79,73.54669404029846,6.209499359130859
simulated167,simulated256,35.0,21,35.0,68,187.23870372772217,5.65688157081604
simulated167,simulated460,32.0,5,32.0,63,24.94259548187256,5.871370553970337
simulated167,simulated296,34.0,2,34.0,66,20.786531925201416,5.787425994873047
simulated167,simulated330,34.0,4,34.0,62,58.97339606285095,12.324037075042725
simulated167,simulated262,31.0,5,31.0,64,43.743348598480225,8.375970602035522
simulated141,simulated141,0.0,2,0.0,0,1.562190055847168,0.938915491104126
simulated141,simulated287,29.0,8,29.0,52,53.6201491355896,6.300947189331055
simulated141,simulated280,28.0,3,28.0,51,17.48600196838379,6.676026105880737
simulated141,simulated333,29.0,15,29.0,46,132.10452151298523,10.920214414596558
simulated141,simulated305,30.0,4,30.0,53,29.948366165161133,6.7883031368255615
simulated141,simulated187,30.0,6,30.0,57,44.05174684524536,5.702312231063843
simulated141,simulated25,34.0,23,34.0,76,195.56970882415771,7.9037487506866455
simulated141,simulated256,32.0,5,32.0,55,37.592994928359985,5.158613681793213
simulated141,simulated460,32.0,6,32.0,67,35.212977170944214,3.830014228820801
simulated141,simulated296,29.0,9,29.0,53,29.725379705429077,3.6044070720672607
simulated141,simulated330,28.0,5,28.0,48,27.974757194519043,6.919559001922607
simulated141,simulated262,21.0,3,21.0,26,10.118690967559814,3.360466957092285
simulated287,simulated287,0.0,1,0.0,0,0.980938196182251,0.9046297073364258
simulated287,simulated280,31.0,6,31.0,64,101.48833751678467,14.878315210342407
simulated287,simulated333,33.0,24,33.0,61,432.49451661109924,15.869163513183594
simulated287,simulated305,2.0,1,2.0,2,1.1278667449951172,1.0448148250579834
simulated287,simulated187,29.0,1,29.0,44,8.504816770553589,8.424763202667236
simulated287,simulated25,33.0,3,33.0,73,20.489388704299927,7.5160980224609375
simulated287,simulated256,19.0,15,19.0,24,23.343170642852783,1.7626724243164062
simulated287,simulated460,29.0,11,29.0,57,61.42788028717041,4.310544013977051
simulated287,simulated296,2.0,2,2.0,2,1.5620992183685303,0.939340353012085
simulated287,simulated330,32.0,17,32.0,59,314.9941964149475,8.581749439239502
simulated287,simulated262,30.0,6,30.0,49,73.17459893226624,13.078837633132935
simulated280,simulated280,0.0,1,0.0,0,0.8836054801940918,0.81341552734375
simulated280,simulated333,30.0,9,30.0,48,52.91204357147217,5.094357490539551
simulated280,simulated305,32.0,62,32.0,64,1920.453840970993,22.43403196334839
simulated280,simulated187,31.0,3,31.0,65,19.639899969100952,5.900373697280884
simulated280,simulated25,36.0,4,36.0,74,23.416970252990723,5.67859673500061
simulated280,simulated256,34.0,6,34.0,62,60.66618371009827,9.656858444213867
simulated280,simulated460,31.0,9,30.9999996204209,69,64.05072259902954,5.340795278549194
simulated280,simulated296,31.0,2,32.0,63,30.28231191635132,6.528506278991699
simulated280,simulated330,31.0,5,31.0,53,25.47606325149536,4.421954393386841
simulated280,simulated262,29.0,3,29.0,51,16.28547501564026,5.1878602504730225
simulated333,simulated333,0.0,2,0.0,0,1.4938685894012451,0.8524458408355713
simulated333,simulated305,33.0,14,33.0,62,97.02657532691956,5.356221914291382
simulated333,simulated187,32.0,10,32.0,63,69.2539472579956,7.483947038650513
simulated333,simulated25,35.0,3,35.0,74,16.733283281326294,6.140426158905029
